representative,member,rmsd
peptide_2_1,peptide_2_1,0.0
peptide_2_34,peptide_2_34,0.0
peptide_2_18,peptide_2_18,0.0
peptide_2_2,peptide_2_2,0.0
peptide_2_11,peptide_2_11,0.0
peptide_2_39,peptide_2_39,0.0
peptide_2_5,peptide_2_5,0.0
peptide_2_11,peptide_2_12,1.0398
peptide_2_39,peptide_2_44,1.11503
peptide_2_2,peptide_2_7,1.42971
peptide_2_5,peptide_2_8,1.50756
peptide_2_2,peptide_2_10,1.52894
peptide_2_1,peptide_2_3,1.6577
peptide_2_39,peptide_2_88,1.75847
peptide_2_5,peptide_2_24,2.02657
peptide_2_1,peptide_2_15,2.03131
peptide_2_2,peptide_2_40,2.09103
peptide_2_18,peptide_2_42,2.13011
peptide_2_39,peptide_2_97,2.19057
peptide_2_2,peptide_2_67,2.25485
peptide_2_5,peptide_2_71,2.9434
peptide_2_5,peptide_2_66,3.4857
peptide_2_2,peptide_2_32,3.67305
peptide_2_5,peptide_2_84,4.54694
peptide_2_2,peptide_2_56,4.81001
peptide_2_1,peptide_2_47,5.32001
peptide_2_5,peptide_2_16,5.37031
peptide_2_34,peptide_2_85,5.61732
peptide_2_5,peptide_2_28,5.86908
peptide_2_5,peptide_2_54,5.96261
peptide_2_18,peptide_2_86,7.4939
peptide_2_11,peptide_2_83,9.04472
peptide_2_11,peptide_2_53,9.15479
peptide_2_11,peptide_2_37,9.24267
peptide_2_11,peptide_2_38,9.30889
peptide_2_11,peptide_2_76,9.60295
peptide_2_11,peptide_2_90,9.85387
peptide_2_11,peptide_2_25,9.87933
peptide_2_39,peptide_2_61,10.2029
peptide_2_5,peptide_2_81,10.2227
peptide_2_11,peptide_2_96,10.3313
peptide_2_1,peptide_2_41,10.3465
peptide_2_11,peptide_2_62,10.3755
peptide_2_11,peptide_2_89,10.4095
peptide_2_1,peptide_2_17,10.4223
peptide_2_11,peptide_2_72,10.7831
peptide_2_18,peptide_2_87,10.791
peptide_2_1,peptide_2_14,10.8639
peptide_2_11,peptide_2_21,10.9825
peptide_2_11,peptide_2_48,11.0505
peptide_2_2,peptide_2_9,11.1993
peptide_2_1,peptide_2_43,11.3107
peptide_2_2,peptide_2_4,11.3397
peptide_2_1,peptide_2_94,11.3598
peptide_2_1,peptide_2_70,11.3773
peptide_2_18,peptide_2_50,11.4038
peptide_2_18,peptide_2_59,11.5401
peptide_2_11,peptide_2_51,11.5549
peptide_2_1,peptide_2_26,11.6156
peptide_2_11,peptide_2_57,11.6194
peptide_2_1,peptide_2_30,11.6403
peptide_2_18,peptide_2_46,11.6575
peptide_2_5,peptide_2_91,11.6749
peptide_2_18,peptide_2_77,11.7259
peptide_2_1,peptide_2_31,11.8087
peptide_2_11,peptide_2_27,11.9269
peptide_2_11,peptide_2_19,11.9664
peptide_2_11,peptide_2_63,12.148
peptide_2_11,peptide_2_33,12.2044
peptide_2_11,peptide_2_82,12.3577
peptide_2_11,peptide_2_80,12.5134
peptide_2_2,peptide_2_6,12.8282
peptide_2_18,peptide_2_65,12.858
peptide_2_11,peptide_2_22,12.9328
peptide_2_11,peptide_2_49,12.9397
peptide_2_34,peptide_2_73,13.0809
peptide_2_5,peptide_2_29,13.2618
peptide_2_1,peptide_2_99,13.301
peptide_2_11,peptide_2_95,13.3361
peptide_2_11,peptide_2_69,13.3893
peptide_2_34,peptide_2_92,13.4327
peptide_2_2,peptide_2_78,13.5802
peptide_2_11,peptide_2_98,13.7328
peptide_2_11,peptide_2_36,13.7728
peptide_2_2,peptide_2_75,13.8015
peptide_2_5,peptide_2_79,13.9542
peptide_2_11,peptide_2_13,13.9994
peptide_2_11,peptide_2_20,14.0449
peptide_2_11,peptide_2_58,14.1182
peptide_2_1,peptide_2_55,14.1863
peptide_2_1,peptide_2_74,14.2702
peptide_2_5,peptide_2_68,14.5955
peptide_2_5,peptide_2_35,14.7074
peptide_2_2,peptide_2_64,14.854
peptide_2_5,peptide_2_23,14.8695
peptide_2_5,peptide_2_60,15.0545
peptide_2_18,peptide_2_45,15.5441
peptide_2_11,peptide_2_52,15.6718
peptide_2_18,peptide_2_93,16.6397
